ID,Name,Tactic,Level,IEL,Description,Examples,Skills Needed to Use
T1001,Data Obfuscation,Command and Control,1 Public,1,"When choosing a C2 method, there are many public obfuscation capabilities.",Meterpreter HTTP comms,basic cli
T1001,Data Obfuscation,Command and Control,2 Altered,2,Modifying a public data obfuscation method would require knowledge of the underlying protocol and implementation,,
T1001,Data Obfuscation,Command and Control,3 Bespoke,4,Creating a custom obfuscation requires high level of knowledge about the target environment,"https://research.checkpoint.com/2021/irans-apt34-returns-with-an-updated-arsenal/,https://www.crowdstrike.com/blog/observations-from-the-stellarparticle-campaign/",
T1003,OS Credential Dumping,Credential Access,1 Public,1,Public tools exist to dump credentaisl from os assuming you have the right privileges,https://attack.mitre.org/software/S0002/,Requires CLI use
T1003,OS Credential Dumping,Credential Access,2 Altered,2,Embedding pieces of mimikatz code as a plugin in another tool,,
T1003,OS Credential Dumping,Credential Access,3 Bespoke,3,Writing custom code that manipulates APIs to read the data,,
T1005,Data from Local System,Collection,1 Public,0,Known commands that are suspicious,,Copy / paste
T1005,Data from Local System,Collection,2 Altered,1,Any OS command that copies data from one place to another,,cli knowledge
T1005,Data from Local System,Collection,3 Bespoke,2,Commands that mimic target backup strategies,,
T1006,Direct Volume Access,Defense Evasion,1 Public,1,Using example strings to activate lolbin,https://lolbas-project.github.io/lolbas/Binaries/Esentutl/,Need to know about when to use this
T1006,Direct Volume Access,Defense Evasion,2 Altered,2,Modifying the command to copy in a slightly different way,,
T1006,Direct Volume Access,Defense Evasion,3 Bespoke,3,Custom malware that can access the driver,https://www.microsoft.com/en-us/security/blog/2023/10/25/octo-tempest-crosses-boundaries-to-facilitate-extortion-encryption-and-destruction/,
T1007,System Service Discovery,Discovery,1 Public,0,`sc query` or similar commands,,
T1007,System Service Discovery,Discovery,2 Altered,1,Slightly different commands,,
T1007,System Service Discovery,Discovery,3 Bespoke,2,Malware that can call functions directly,https://s7d2.scene7.com/is/content/cylance/prod/cylance-web/en-us/resources/knowledge-center/resource-library/reports/Op_Dust_Storm_Report.pdf,
T1008,Fallback Channels,Command and Control,1 Public,2,Something like a hardcoded secondary domain,https://vblocalhost.com/uploads/VB2021-Kayal-etal.pdf,
T1008,Fallback Channels,Command and Control,2 Altered,3,DNS Tunneling with your own domain,https://researchcenter.paloaltonetworks.com/2017/07/unit42-oilrig-uses-ismdoor-variant-possibly-linked-greenbug-threat-group/,
T1008,Fallback Channels,Command and Control,3 Bespoke,4,Company extranet servers,https://scadahacker.com/library/Documents/Cyber_Events/McAfee%20-%20Night%20Dragon%20-%20Global%20Energy%20Cyberattacks.pdf,High degree of intelligence and network mapping needing to know about the specific systems and compromise them
T1010,Application Window Discovery,Discovery,1 Public,1,Get-Process mainWindowTitle,,
T1010,Application Window Discovery,Discovery,2 Altered,2,GetForegroundWindow,,
T1010,Application Window Discovery,Discovery,3 Bespoke,3,Memory access,,
T1011,Exfiltration Over Other Network Medium,Exfiltration,1 Public,3,Known protocol like wifi network,,Requires proximity
T1011,Exfiltration Over Other Network Medium,Exfiltration,2 Altered,4,Known protocol with environment-alteration,,Requires proximity
T1011,Exfiltration Over Other Network Medium,Exfiltration,3 Bespoke,5,Custom-developed medium,,"Requires proximity, signal development"
T1012,Query Registry,Discovery,1 Public,0,reg.exe,https://www.welivesecurity.com/2019/05/22/journey-zebrocy-land/,
T1012,Query Registry,Discovery,2 Altered,2,Use Windows APIs,https://us-cert.cisa.gov/ncas/analysis-reports/ar20-216a,
T1012,Query Registry,Discovery,3 Bespoke,3,Directly access registry hives,,
T1014,Rootkit,Defense Evasion,1 Public,2,Setting environment variables to hook the dynamic linker,https://www.welivesecurity.com/2017/10/30/windigo-ebury-update-2/,
T1014,Rootkit,Defense Evasion,2 Altered,3,Custom malicious driver,"https://www.theregister.com/2020/08/07/def_con_demirkapi/,https://www.cyberark.com/resources/threat-research-blog/fantastic-rootkits-and-where-to-find-them-part-1",
T1014,Rootkit,Defense Evasion,3 Bespoke,4,Custom rootkit kernel module,https://media.defense.gov/2020/Aug/13/2002476465/-1/-1/0/CSA_DROVORUB_RUSSIAN_GRU_MALWARE_AUG_2020.PDF,
T1016,System Network Configuration Discovery,Discovery,1 Public,0,CLI tools like ipconfig or Get-NetIPConfiguration,https://s7d2.scene7.com/is/content/cylance/prod/cylance-web/en-us/resources/knowledge-center/resource-library/reports/Op_Dust_Storm_Report.pdf,
T1016,System Network Configuration Discovery,Discovery,2 Altered,2,Calling API commands,https://www.cybereason.com/blog/royal-ransomware-analysis,
T1016,System Network Configuration Discovery,Discovery,3 Bespoke,3,Look for network configuration stored in environment-specific way,,
T1018,Remote System Discovery,Discovery,1 Public,1,CLI tools like show arp or ping,,Requires a bit of networking knowledge
T1018,Remote System Discovery,Discovery,2 Altered,2,Looking at persistent connections,,
T1018,Remote System Discovery,Discovery,3 Bespoke,3,Analyzing environment-specific applications to see what they communicate with,,
T1020,Automated Exfiltration,Exfiltration,1 Public,1,Meterpreter scripted upload,,
T1020,Automated Exfiltration,Exfiltration,2 Altered,2,Changing the script,,
T1020,Automated Exfiltration,Exfiltration,3 Bespoke,3,Custom search method,,
T1021,Remote Services,Lateral Movement,1 Public,0,Metasploit winrm login module,https://github.com/rapid7/metasploit-framework/blob/master/documentation/modules/exploit/windows/winrm/winrm_script_exec.md,Not an exploit or how you got the account
T1021,Remote Services,Lateral Movement,2 Altered,1,Manually calling RDP from command line,,
T1021,Remote Services,Lateral Movement,3 Bespoke,2,Custom tool for creating remote connections,https://securelist.com/apt-style-bank-robberies-increase-with-metel-gcman-and-carbanak-2-0-attacks/73638/,
T1025,Data from Removable Media,Collection,1 Public,0,Known commands that are suspicious,,
T1025,Data from Removable Media,Collection,2 Altered,1,Any OS command that copies data from one place to another,https://unit42.paloaltonetworks.com/unit-42-title-gamaredon-group-toolset-evolution/,
T1025,Data from Removable Media,Collection,3 Bespoke,2,Commands that mimic target backup strategies,,
T1027,Obfuscated Files or Information,Defense Evasion,1 Public,1,base64 encoding,https://www.malwarebytes.com/blog/news/2021/12/sidecopy-apt-connecting-lures-to-victims-payloads-to-infrastructure,
T1027,Obfuscated Files or Information,Defense Evasion,2 Altered,2,Multilayer encoding,https://www.mcafee.com/enterprise/en-us/assets/reports/rp-cuba-ransomware.pdf,
T1027,Obfuscated Files or Information,Defense Evasion,3 Bespoke,3,Embedding malware in legitimate application,https://www.welivesecurity.com/wp-content/uploads/2017/06/Win32_Industroyer.pdf,
T1029,Scheduled Transfer,Exfiltration,1 Public,2,Powershell empire lets you schedule file upload chunks,,
T1029,Scheduled Transfer,Exfiltration,2 Altered,3,Randomizing upload or setting work hours,https://web-assets.esetstatic.com/wls/2020/05/ESET_Turla_ComRAT.pdf,
T1029,Scheduled Transfer,Exfiltration,3 Bespoke,4,Upload based on target environment data usage,,
T1030,Data Transfer Size Limits,Exfiltration,1 Public,2,Cobalt strike uploads 512KB chunks each time,https://web.archive.org/web/20210825130434/https://cobaltstrike.com/downloads/csmanual38.pdf,
T1030,Data Transfer Size Limits,Exfiltration,2 Altered,3,Setting specific limit based on c2 traffic profile,,
T1030,Data Transfer Size Limits,Exfiltration,3 Bespoke,4,Upload based on target environment data usage,,
T1033,System Owner/User Discovery,Discovery,1 Public,0,macOS `dscl . list /Users | grep -v '_' `,,
T1033,System Owner/User Discovery,Discovery,2 Altered,1,Read environment variables,,
T1033,System Owner/User Discovery,Discovery,3 Bespoke,2,Custom function calling getlogin() or similar,,
T1036,Masquerading,Defense Evasion,1 Public,0,Rename payload `PowerShellInfo.exe`,https://www.secureworks.com/research/darktortilla-malware-analysis,
T1036,Masquerading,Defense Evasion,2 Altered,1,Renaming payload to something else,,
T1036,Masquerading,Defense Evasion,3 Bespoke,2,Matching filenames on the compromised system,https://www.crowdstrike.com/blog/observations-from-the-stellarparticle-campaign/,
T1037,Boot or Logon Initialization Scripts,"Persistence, Privilege Escalation",1 Public,1,HKCU\Environment\UserInitMprLogonScript,https://blog.morphisec.com/cobalt-gang-2.0,
T1037,Boot or Logon Initialization Scripts,"Persistence, Privilege Escalation",2 Altered,2,Custom init.d script,,
